,tipo,acurácia,precisão,recall,f1score
0,RF,0.8125,0.8222222222222222,0.8125,0.8058069381598794
1,DT,0.8125,0.8166666666666667,0.8125,0.8095238095238095
2,SVM,0.875,0.8740079365079365,0.875,0.8727941176470588
3,RL,0.78125,0.7674603174603175,0.78125,0.7670401493930905
4,NB,0.6875,0.6943993506493507,0.6875,0.6837875939849624
